plate,lat,lon
an,-63.984,175.582
an,-64.174,175.162
an,-64.315,174.814
an,-64.508,174.242
an,-64.738,173.631
an,-64.256,172.52
an,-64.097,172.164
an,-63.807,171.64
an,-63.447,171.009
an,-63.149,170.441
an,-62.972,170.068
an,-62.676,169.605
an,-62.446,169.238
an,-62.632,168.708
an,-62.773,168.277
an,-62.971,167.55
an,-63.221,166.858
an,-63.087,166.62
an,-62.668,165.969
an,-62.473,165.653
an,-62.077,165.103
an,-62.177,164.768
an,-62.322,164.275
an,-62.475,163.773
an,-62.66,163.202
an,-62.213,162.579
an,-61.763,161.975
an,-61.457,161.228
an,-61.457,161.228
an,-61.559,160.865
an,-62.026,159.44
an,-62.478,157.97
an,-62.914,156.457
an,-62.174,155.701
an,-61.429,154.981
an,-60.681,154.294
an,-59.93,153.639
an,-60.176,152.473
an,-60.413,151.29
an,-59.944,151.008
an,-59.475,150.733
an,-59.57,150.006
an,-58.999,149.652
an,-58.552,149.398
an,-58.104,149.15
an,-57.436,148.806
an,-57.527,148.076
an,-57.566,147.902
an,-57.088,147.721
an,-56.61,147.545
an,-56.132,147.373
an,-55.654,147.206
an,-55.175,147.043
an,-54.695,146.881
an,-54.695,146.881
an,-54.755,145.401
an,-54.798,144.282
an,-54.234,143.778
an,-54.215,142.25
an,-54.053,141.451
an,-53.885,140.659
an,-53.504,140.584
an,-52.75,140.478
an,-52.274,140.4
an,-51.798,140.323
an,-51.838,139.813
an,-51.174,139.733
an,-50.279,139.645
an,-50.256,139.11
an,-50.231,138.401
an,-50.234,137.7
an,-50.22,136.946
an,-50.248,136.226
an,-50.209,135.246
an,-50.384,135.026
an,-50.347,134.245
an,-50.306,133.465
an,-50.223,132.261
an,-50.222,131.515
an,-50.604,131.256
an,-50.525,130.569
an,-50.348,129.412
an,-50.159,128.312
an,-49.976,127.143
an,-49.643,127.196
an,-49.294,127.243
an,-48.764,127.313
an,-48.698,126.861
an,-48.63,126.434
an,-49.044,126.264
an,-49.401,126.074
an,-49.717,125.896
an,-49.598,125.262
an,-49.358,125.125
an,-49.153,124.992
an,-48.983,124.607
an,-48.848,124.213
an,-48.906,124.007
an,-49.122,123.771
an,-49.585,123.328
an,-49.542,123.013
an,-49.729,122.797
an,-49.812,122.553
an,-49.846,122.224
an,-49.736,121.866
an,-49.62,121.437
an,-49.006,121.555
an,-48.89,120.842
an,-49.524,120.516
an,-50.036,120.273
an,-49.938,119.366
an,-49.802,118.547
an,-49.865,118.194
an,-49.62,117.523
an,-49.271,116.635
an,-49.54,116.256
an,-49.852,115.988
an,-49.974,115.5
an,-49.878,114.362
an,-50.388,114.024
an,-50.2,112.967
an,-50.084,111.666
an,-49.93,111.363
an,-49.8,111.129
an,-49.829,110.868
an,-49.779,110.472
an,-49.523,109.351
an,-49.523,109.351
an,-49.259,108.24
an,-49.182,108.285
an,-49.015,107.486
an,-48.841,106.692
an,-49.101,106.554
an,-48.934,105.898
an,-48.762,105.247
an,-48.588,104.601
an,-48.409,103.959
an,-48.227,103.321
an,-48.042,102.688
an,-47.853,102.06
an,-47.661,101.436
an,-47.465,100.817
an,-47.267,100.202
an,-47.978,99.624
an,-47.744,98.979
an,-47.506,98.34
an,-47.265,97.707
an,-47.02,97.08
an,-46.772,96.458
an,-46.52,95.842
an,-45.996,96.274
an,-45.471,96.698
an,-45.141,95.806
an,-44.805,94.926
an,-44.62,95.04
an,-44.39,94.47
an,-44.157,93.904
an,-43.922,93.343
an,-43.684,92.786
an,-43.443,92.234
an,-43.199,91.686
an,-42.953,91.142
an,-42.705,90.603
an,-42.454,90.068
an,-42.2,89.537
an,-41.944,89.011
an,-41.686,88.488
an,-41.997,88.06
an,-41.711,87.502
an,-41.421,86.95
an,-41.129,86.402
an,-40.834,85.859
an,-41.18,85.466
an,-41.525,85.07
an,-41.868,84.669
an,-42.21,84.263
an,-42.551,83.853
an,-42.89,83.439
an,-42.309,82.588
an,-41.722,81.752
an,-41.13,80.931
an,-41.512,80.463
an,-41.892,79.99
an,-41.384,79.319
an,-40.872,78.659
an,-40.866,78.484
an,-40.326,77.825
an,-39.905,78.425
an,-39.538,78.002
an,-39.262,78.384
an,-39.005,78.073
an,-38.659,78.529
an,-38.393,78.181
an,-38.001,78.706
an,-37.483,78.021
an,-36.998,78.606
an,-36.511,79.184
an,-36.098,78.69
an,-35.683,78.201
an,-35.161,78.803
an,-34.842,78.442
an,-34.807,78.488
an,-34.324,77.917
an,-33.838,77.352
an,-33.194,78.086
an,-32.828,77.658
an,-32.459,77.233
an,-32.09,76.812
an,-31.719,76.395
an,-31.465,76.689
an,-30.97,76.148
an,-30.906,76.204
an,-30.573,75.797
an,-30.24,75.393
an,-30.118,75.515
an,-30.006,75.364
an,-29.839,75.554
an,-29.328,74.938
an,-29.265,74.994
an,-28.904,74.592
an,-28.541,74.192
an,-28.317,74.406
an,-27.944,73.969
an,-27.57,73.534
an,-27.655,73.4
an,-27.446,73.123
an,-27.573,72.92
an,-27.146,72.463
an,-26.718,72.008
an,-26.656,72.066
an,-26.386,71.717
an,-26.454,71.58
an,-26.083,71.135
an,-26.187,70.994
an,-25.912,70.665
an,-26.06,70.409
an,-25.651,69.96
an,-25.651,69.96
an,-25.676,69.49
an,-25.782,69.46
an,-25.784,69.138
an,-25.993,69.15
an,-26.009,68.829
an,-26.141,68.82
an,-26.121,68.598
an,-26.262,68.622
an,-26.291,67.979
an,-26.583,67.962
an,-26.572,67.433
an,-26.87,67.424
an,-26.867,67.156
an,-27.269,67.129
an,-27.281,66.373
an,-27.515,66.359
an,-27.514,65.347
an,-27.812,65.332
an,-27.817,64.467
an,-27.831,63.604
an,-28.039,63.621
an,-28.021,63.194
an,-28.164,63.211
an,-28.152,62.703
an,-28.459,62.746
an,-28.49,62.135
an,-28.811,62.162
an,-28.777,61.518
an,-28.92,61.532
an,-28.931,60.81
an,-29.465,60.786
an,-29.999,60.762
an,-30.015,60.747
an,-30.532,60.763
an,-30.561,60.005
an,-30.567,59.188
an,-31.05,59.167
an,-31.055,58.53
an,-31.691,58.456
an,-31.722,57.8
an,-31.771,57.153
an,-32.303,57.122
an,-32.835,57.091
an,-33.554,57.061
an,-33.627,56.401
an,-33.653,55.738
an,-34.235,55.699
an,-34.287,55.301
an,-34.56,55.275
an,-34.542,54.255
an,-35.302,54.216
an,-35.517,53.471
an,-36.141,53.467
an,-36.153,52.902
an,-36.162,52.338
an,-36.797,52.311
an,-37.432,52.283
an,-37.441,51.555
an,-37.451,50.827
an,-37.58,50.823
an,-37.597,49.962
an,-37.79,49.945
an,-37.792,49.037
an,-38.0,49.034
an,-38.014,48.633
an,-38.478,48.017
an,-38.651,48.023
an,-38.764,47.135
an,-38.87,46.244
an,-39.495,46.16
an,-40.119,46.074
an,-40.108,45.332
an,-40.366,45.303
an,-40.369,44.716
an,-40.691,44.686
an,-40.671,44.023
an,-40.915,44.009
an,-40.85,42.873
an,-41.321,42.774
an,-41.79,42.674
an,-42.26,42.572
an,-42.73,42.469
an,-42.655,41.812
an,-43.117,41.686
an,-43.579,41.558
an,-43.438,40.506
an,-43.286,39.459
an,-43.726,39.267
an,-44.165,39.073
an,-44.055,38.338
an,-44.401,38.194
an,-44.619,38.083
an,-44.619,38.083
an,-44.875,37.508
an,-44.804,37.086
an,-44.92,36.677
an,-44.967,36.303
an,-44.961,35.973
an,-44.866,35.66
an,-44.855,35.182
an,-45.106,35.014
an,-45.466,34.868
an,-45.971,34.704
an,-46.222,34.504
an,-46.212,34.267
an,-46.09,34.087
an,-46.081,33.982
an,-45.979,33.818
an,-46.346,33.54
an,-46.806,33.358
an,-47.264,33.174
an,-47.0,32.126
an,-47.0,32.126
an,-47.201,31.865
an,-47.682,31.588
an,-48.163,31.306
an,-48.587,31.008
an,-49.011,30.705
an,-49.215,30.362
an,-49.611,30.006
an,-49.934,29.712
an,-50.507,29.343
an,-51.137,28.969
an,-51.772,28.605
an,-52.277,28.403
an,-52.54,28.312
an,-52.904,28.111
an,-52.771,27.48
an,-52.673,27.37
an,-52.547,27.322
an,-52.378,26.713
an,-52.62,26.513
an,-53.065,26.338
an,-53.429,26.181
an,-53.582,25.987
an,-53.48,25.861
an,-53.41,25.648
an,-53.444,25.18
an,-53.345,24.873
an,-53.345,24.873
an,-53.422,24.685
an,-53.309,23.886
an,-53.2,23.021
an,-53.098,23.075
an,-53.051,22.504
an,-52.909,21.25
an,-52.817,19.994
an,-52.553,18.712
an,-52.734,18.537
an,-52.467,17.806
an,-52.169,16.907
an,-51.787,15.822
an,-52.084,15.428
an,-52.307,15.112
an,-51.997,14.463
an,-52.477,13.788
an,-52.141,13.204
an,-51.963,12.895
an,-52.375,12.299
an,-52.783,11.708
an,-53.332,10.975
an,-53.066,10.542
an,-52.792,9.993
an,-53.233,9.429
an,-53.668,8.799
an,-54.033,8.288
an,-54.396,7.772
an,-54.396,7.772
AP,-15.736,-75.916
AP,-16.33,-75.292
AP,-16.823,-74.609
AP,-17.373,-73.949
AP,-17.747,-73.4
AP,-18.257,-72.737
AP,-18.721,-72.266
AP,-19.298,-71.746
AP,-19.811,-71.487
AP,-20.249,-71.362
AP,-20.758,-71.323
AP,-21.262,-71.249
AP,-21.965,-71.307
AP,-21.965,-71.307
AP,-21.734,-70.683
AP,-21.5,-70.062
AP,-21.5,-69.114
AP,-21.5,-68.166
AP,-21.5,-67.655
AP,-21.5,-67.144
AP,-21.5,-66.634
AP,-21.5,-66.123
AP,-21.465,-65.427
AP,-21.427,-64.732
AP,-21.399,-64.139
AP,-21.368,-63.545
AP,-20.759,-63.36
AP,-20.15,-63.176
AP,-19.511,-63.286
AP,-18.872,-63.396
AP,-18.375,-63.617
AP,-17.878,-63.836
AP,-17.464,-63.856
AP,-17.402,-64.585
AP,-17.11,-65.419
AP,-16.729,-65.795
AP,-16.348,-66.171
AP,-15.714,-66.696
AP,-15.079,-67.218
AP,-14.527,-67.423
AP,-14.028,-68.008
AP,-13.527,-68.59
AP,-13.395,-69.046
AP,-13.261,-69.501
AP,-13.035,-70.125
AP,-12.807,-70.747
AP,-12.578,-71.392
AP,-12.348,-72.036
AP,-12.418,-72.655
AP,-12.486,-73.274
AP,-13.182,-73.85
AP,-13.876,-74.429
AP,-14.497,-74.922
AP,-15.117,-75.418
AP,-15.736,-75.916
AP,-15.736,-75.916
ar,24.382,65.028
ar,24.122,61.365
ar,24.443,57.832
ar,26.049,57.057
ar,27.369,56.423
ar,27.121,53.241
ar,28.487,51.283
ar,30.103,50.453
ar,31.621,49.036
ar,33.391,45.918
ar,35.458,44.67
ar,37.407,43.648
ar,38.616,41.236
ar,38.314,38.856
ar,37.398,36.789
ar,35.285,36.396
ar,33.233,35.648
ar,31.383,35.309
ar,29.472,34.776
ar,27.885,34.257
ar,26.353,35.2
ar,24.626,36.242
ar,23.226,37.042
ar,21.843,37.825
ar,20.389,38.075
ar,19.03,39.298
ar,17.949,39.987
ar,16.785,40.251
ar,15.772,39.671
ar,14.719,40.026
ar,13.742,40.614
ar,12.6,40.507
ar,11.811,41.206
ar,12.013,43.65
ar,12.1,45.851
ar,12.602,48.267
ar,13.313,49.68
ar,14.028,51.763
ar,14.772,54.069
ar,14.66,57.002
ar,15.572,59.909
ar,16.713,60.02
ar,18.24,60.215
ar,19.306,60.712
ar,20.644,61.492
ar,22.083,62.133
AS,35.427,29.731
AS,37.269,28.255
AS,39.298,26.61
AS,40.092,24.931
AS,39.287,23.463
AS,38.355,22.164
AS,38.471,20.437
AS,36.216,21.599
AS,35.437,22.866
AS,34.34,24.593
AS,34.198,26.465
AS,34.87,28.05
AT,34.826,31.256
AT,34.29,33.101
AT,40.269,38.021
AT,41.002,35.527
AT,41.023,33.405
AT,40.679,31.482
AT,40.686,29.03
au,-33.194,78.086
au,-33.838,77.352
au,-34.324,77.917
au,-34.807,78.488
au,-34.842,78.442
au,-35.161,78.803
au,-35.683,78.201
au,-36.098,78.69
au,-36.511,79.184
au,-36.998,78.606
au,-37.483,78.021
au,-38.001,78.706
au,-38.393,78.181
au,-38.659,78.529
au,-39.005,78.073
au,-39.262,78.384
au,-39.538,78.002
au,-39.905,78.425
au,-40.326,77.825
au,-40.866,78.484
au,-40.872,78.659
au,-41.384,79.319
au,-41.892,79.99
au,-41.512,80.463
au,-41.13,80.931
au,-41.722,81.752
au,-42.309,82.588
au,-42.89,83.439
au,-42.551,83.853
au,-42.21,84.263
au,-41.868,84.669
au,-41.525,85.07
au,-41.18,85.466
au,-40.834,85.859
au,-41.129,86.402
au,-41.421,86.95
au,-41.711,87.502
au,-41.997,88.06
au,-41.686,88.488
au,-41.944,89.011
au,-42.2,89.537
au,-42.454,90.068
au,-42.705,90.603
au,-42.953,91.142
au,-43.199,91.686
au,-43.443,92.234
au,-43.684,92.786
au,-43.922,93.343
au,-44.157,93.904
au,-44.39,94.47
au,-44.62,95.04
au,-44.805,94.926
au,-45.141,95.806
au,-45.471,96.698
au,-45.996,96.274
au,-46.52,95.842
au,-46.772,96.458
au,-47.02,97.08
au,-47.265,97.707
au,-47.506,98.34
au,-47.744,98.979
au,-47.978,99.624
au,-47.267,100.202
au,-47.465,100.817
au,-47.661,101.436
au,-47.853,102.06
au,-48.042,102.688
au,-48.227,103.321
au,-48.409,103.959
au,-48.588,104.601
au,-48.762,105.247
au,-48.934,105.898
au,-49.101,106.554
au,-48.841,106.692
au,-49.015,107.486
au,-49.182,108.285
au,-49.259,108.24
au,-49.523,109.351
au,-49.523,109.351
au,-49.779,110.472
au,-49.829,110.868
au,-49.8,111.129
au,-49.93,111.363
au,-50.084,111.666
au,-50.2,112.967
au,-50.388,114.024
au,-49.878,114.362
au,-49.974,115.5
au,-49.852,115.988
au,-49.54,116.256
au,-49.271,116.635
au,-49.62,117.523
au,-49.865,118.194
au,-49.802,118.547
au,-49.938,119.366
au,-50.036,120.273
au,-49.524,120.516
au,-48.89,120.842
au,-49.006,121.555
au,-49.62,121.437
au,-49.736,121.866
au,-49.846,122.224
au,-49.812,122.553
au,-49.729,122.797
au,-49.542,123.013
au,-49.585,123.328
au,-49.122,123.771
au,-48.906,124.007
au,-48.848,124.213
au,-48.983,124.607
au,-49.153,124.992
au,-49.358,125.125
au,-49.598,125.262
au,-49.717,125.896
au,-49.401,126.074
au,-49.044,126.264
au,-48.63,126.434
au,-48.698,126.861
au,-48.764,127.313
au,-49.294,127.243
au,-49.643,127.196
au,-49.976,127.143
au,-50.159,128.312
au,-50.348,129.412
au,-50.525,130.569
au,-50.604,131.256
au,-50.222,131.515
au,-50.223,132.261
au,-50.306,133.465
au,-50.347,134.245
au,-50.384,135.026
au,-50.209,135.246
au,-50.248,136.226
au,-50.22,136.946
au,-50.234,137.7
au,-50.231,138.401
au,-50.256,139.11
au,-50.279,139.645
au,-51.174,139.733
au,-51.838,139.813
au,-51.798,140.323
au,-52.274,140.4
au,-52.75,140.478
au,-53.504,140.584
au,-53.885,140.659
au,-54.053,141.451
au,-54.215,142.25
au,-54.234,143.778
au,-54.798,144.282
au,-54.755,145.401
au,-54.695,146.881
au,-54.695,146.881
au,-55.175,147.043
au,-55.654,147.206
au,-56.132,147.373
au,-56.61,147.545
au,-57.088,147.721
au,-57.566,147.902
au,-57.527,148.076
au,-57.436,148.806
au,-56.939,150.622
au,-56.415,152.392
au,-55.867,154.115
au,-55.295,155.788
au,-54.702,157.411
au,-54.088,158.985
au,-53.812,159.142
au,-53.62,159.216
au,-53.598,159.318
au,-53.345,159.512
au,-53.17,159.731
au,-52.991,159.905
au,-52.822,160.092
au,-52.634,160.342
au,-52.433,160.535
au,-52.292,160.671
au,-52.166,160.762
au,-51.924,161.026
au,-51.751,161.162
au,-51.542,161.368
au,-51.399,161.542
au,-51.192,161.716
au,-51.118,161.825
au,-50.962,162.049
au,-50.817,162.273
au,-50.668,162.453
au,-50.55,162.594
au,-50.443,162.785
au,-50.369,162.963
au,-50.273,163.047
au,-50.079,163.235
au,-50.079,163.235
au,-49.985,163.296
au,-49.847,163.412
au,-49.761,163.448
au,-49.573,163.545
au,-49.322,163.74
au,-49.116,163.868
au,-48.917,163.964
au,-48.742,164.13
au,-48.592,164.215
au,-48.429,164.287
au,-48.274,164.309
au,-48.202,164.389
au,-48.059,164.398
au,-47.92,164.483
au,-47.76,164.48
au,-47.658,164.528
au,-47.521,164.651
au,-47.444,164.699
au,-47.256,164.739
au,-47.148,164.838
au,-47.011,164.923
au,-46.783,164.943
au,-46.601,165.021
au,-46.405,165.168
au,-46.19,165.427
au,-46.065,165.733
au,-45.958,165.92
au,-45.887,166.019
au,-45.736,166.205
au,-45.515,166.377
au,-45.35,166.537
au,-45.211,166.71
au,-44.987,166.951
au,-44.987,166.951
au,-44.826,167.1
au,-44.648,167.368
au,-44.466,167.688
au,-44.33,168.081
au,-44.166,168.488
au,-44.022,168.77
au,-44.022,168.77
au,-43.845,169.136
au,-43.594,169.647
au,-43.358,170.103
au,-43.088,170.638
au,-42.932,170.995
au,-42.743,171.277
au,-42.675,171.473
au,-42.616,171.859
au,-42.483,172.593
au,-42.392,173.126
au,-42.291,173.724
au,-42.201,174.304
au,-42.122,174.988
au,-42.059,175.503
au,-42.059,175.503
au,-41.757,174.945
au,-41.566,174.763
au,-41.157,174.632
